,Name,DeptId,Department,x,y
Elsa.Orilla@gastech.com.kronos,Elsa Orilla,1,Engineering,5.558722019195557,-0.8442432284355164
Linnea.Bergen@gastech.com.kronos,Linnea Bergen,4,Information Technology,4.392050266265869,0.5569415092468262
Isak.Baza@gastech.com.kronos,Isak Baza,4,Information Technology,7.495326995849609,1.3233753442764282
Edvard.Vann@gastech.com.kronos,Edvard Vann,5,Security,4.694911003112793,1.3243155479431152
Emile.Arpa@gastech.com.kronos,Emile Arpa,3,Facilities,5.954779148101807,3.256769895553589
Mat.Bramar@gastech.com.kronos,Mat Bramar,0,Administration,2.061857223510742,2.435166358947754
Stenig.Fusil@gastech.com.kronos,Stenig Fusil,5,Security,4.855231285095215,1.3992347717285156
Dante.Coginian@gastech.com.kronos,Dante Coginian,3,Facilities,5.9961652755737305,3.8791000843048096
Birgitta.Frente@gastech.com.kronos,Birgitta Frente,1,Engineering,5.8264546394348145,-0.6281768679618835
Lars.Azada@gastech.com.kronos,Lars Azada,1,Engineering,5.491542816162109,-1.1405705213546753
Bertrand.Ovan@gastech.com.kronos,Bertrand Ovan,3,Facilities,5.670314311981201,3.004392623901367
Albina.Hafon@gastech.com.kronos,Albina Hafon,3,Facilities,5.982606887817383,3.3604018688201904
Axel.Calzas@gastech.com.kronos,Axel Calzas,1,Engineering,5.949840545654297,-1.1416454315185547
Benito.Hawelon@gastech.com.kronos,Benito Hawelon,3,Facilities,5.515491008758545,3.841308832168579
Henk.Mies@gastech.com.kronos,Henk Mies,3,Facilities,6.06920051574707,3.71435284614563
Adan.Morlun@gastech.com.kronos,Adan Morlun,3,Facilities,5.679450511932373,3.5864806175231934
Isia.Vann@gastech.com.kronos,Isia Vann,5,Security,4.0610857009887695,1.9306931495666504
Gustav.Cazar@gastech.com.kronos,Gustav Cazar,1,Engineering,6.0220417976379395,-0.7589278817176819
Linda.Lagos@gastech.com.kronos,Linda Lagos,0,Administration,2.0789151191711426,2.4306344985961914
Lucas.Alcazar@gastech.com.kronos,Lucas Alcazar,4,Information Technology,7.485874176025391,1.3206510543823242
Felix.Resumir@gastech.com.kronos,Felix Resumir,5,Security,4.641758441925049,1.0986847877502441
Ruscella.Mies.Haber@gastech.com.kronos,Ruscella Mies Haber,0,Administration,2.0735831260681152,2.3994903564453125
Hennie.Osvaldo@gastech.com.kronos,Hennie Osvaldo,5,Security,4.173707008361816,1.4353255033493042
Adra.Nubarron@gastech.com.kronos,Adra Nubarron,1,Engineering,5.72381591796875,-0.286495566368103
Rachel.Pantanal@gastech.com.kronos,Rachel Pantanal,0,Administration,1.9483641386032104,2.6820216178894043
Varro.Awelon@gastech.com.kronos,Varro Awelon,3,Facilities,5.333455562591553,3.472623586654663
Nils.Calixto@gastech.com.kronos,Nils Calixto,4,Information Technology,7.507160186767578,1.3241868019104004
