,Name,DeptId,Department,x,y
Linda.Lagos@gastech.com.kronos,Linda Lagos,0,Administration,1.0838587284088135,3.218322277069092
Brand.Tempestad@gastech.com.kronos,Brand Tempestad,1,Engineering,-1.0711326599121094,5.777388572692871
Claudio.Hawelon@gastech.com.kronos,Claudio Hawelon,3,Facilities,0.03213254362344742,8.170377731323242
Birgitta.Frente@gastech.com.kronos,Birgitta Frente,1,Engineering,-1.0711311101913452,5.777386665344238
Vira.Frente@gastech.com.kronos,Vira Frente,1,Engineering,-1.354567289352417,5.6512675285339355
Lidelse.Dedos@gastech.com.kronos,Lidelse Dedos,1,Engineering,-2.4677789211273193,4.1635355949401855
Elsa.Orilla@gastech.com.kronos,Elsa Orilla,1,Engineering,-0.9371672868728638,6.53287935256958
Ada.Campo-Corrente@gastech.com.kronos,Ada Campo-Corrente,2,Executive,-1.8751367330551147,6.883975982666016
Sten.Sanjorge Jr.@gastech.com.tethys,Sten.Sanjorge Jr.@gastech.com.tethys,6,Unknown,-2.351768970489502,7.462230205535889
Gustav.Cazar@gastech.com.kronos,Gustav Cazar,1,Engineering,-1.0937026739120483,5.356377601623535
Felix.Balas@gastech.com.kronos,Felix Balas,1,Engineering,-2.465291738510132,4.162436485290527
Isande.Borrasca@gastech.com.kronos,Isande Borrasca,1,Engineering,-1.6395220756530762,4.517537593841553
Willem.Vasco-Pais@gastech.com.kronos,Willem Vasco-Pais,2,Executive,-0.731269359588623,4.584874629974365
Kanon.Herrero@gastech.com.kronos,Kanon Herrero,5,Security,0.692851722240448,6.106809616088867
Edvard.Vann@gastech.com.kronos,Edvard Vann,5,Security,-1.1238270998001099,5.360882759094238
Isak.Baza@gastech.com.kronos,Isak Baza,4,Information Technology,-1.366976261138916,3.827545642852783
Sven.Flecha@gastech.com.kronos,Sven Flecha,4,Information Technology,-3.6596486568450928,6.137268543243408
Varja.Lagos@gastech.com.kronos,Varja Lagos,5,Security,-0.21231579780578613,5.011119365692139
Dante.Coginian@gastech.com.kronos,Dante Coginian,3,Facilities,0.40049904584884644,8.802631378173828
Ruscella.Mies.Haber@gastech.com.kronos,Ruscella Mies Haber,0,Administration,1.1083576679229736,3.2419581413269043
Anda.Ribera@gastech.com.kronos,Anda Ribera,0,Administration,1.1083576679229736,3.2419583797454834
Axel.Calzas@gastech.com.kronos,Axel Calzas,1,Engineering,-2.689932346343994,5.0185017585754395
Rachel.Pantanal@gastech.com.kronos,Rachel Pantanal,0,Administration,1.083858609199524,3.2183220386505127
Varro.Awelon@gastech.com.kronos,Varro Awelon,3,Facilities,0.40049904584884644,8.802631378173828
Valeria.Morlun@gastech.com.kronos,Valeria Morlun,3,Facilities,0.40049904584884644,8.802631378173828
Albina.Hafon@gastech.com.kronos,Albina Hafon,3,Facilities,0.40049904584884644,8.802631378173828
Ingrid.Barranco@gastech.com.kronos,Ingrid Barranco,2,Executive,-1.6730738878250122,6.544607162475586
Cornelia.Lais@gastech.com.kronos,Cornelia Lais,0,Administration,1.1083574295043945,3.2419581413269043
Lars.Azada@gastech.com.kronos,Lars Azada,1,Engineering,-2.2389111518859863,4.875955104827881
Henk.Mies@gastech.com.kronos,Henk Mies,3,Facilities,0.15237441658973694,9.602267265319824
Sten.Sanjorge Jr.@gastech.com.kronos,Sten Sanjorge Jr.,2,Executive,-1.3465601205825806,5.672091960906982
Hideki.Cocinaro@gastech.com.kronos,Hideki Cocinaro,5,Security,-1.0527504682540894,5.370007514953613
Carla.Forluniau@gastech.com.kronos,Carla Forluniau,0,Administration,1.0838587284088135,3.218322277069092
Emile.Arpa@gastech.com.kronos,Emile Arpa,3,Facilities,0.40049904584884644,8.802631378173828
Adan.Morlun@gastech.com.kronos,Adan Morlun,3,Facilities,0.15079215168952942,9.601303100585938
Lucas.Alcazar@gastech.com.kronos,Lucas Alcazar,4,Information Technology,-3.4541451930999756,6.114993095397949
Dylan.Scozzese@gastech.com.kronos,Dylan Scozzese,3,Facilities,0.40049904584884644,8.802631378173828
Kare.Orilla@gastech.com.kronos,Kare Orilla,1,Engineering,-1.3465601205825806,5.672091960906982
Linnea.Bergen@gastech.com.kronos,Linnea Bergen,4,Information Technology,-2.139979362487793,5.750588417053223
Orhan.Strum@gastech.com.kronos,Orhan Strum,2,Executive,-0.6480268239974976,4.290080547332764
Marin.Onda@gastech.com.kronos,Marin Onda,1,Engineering,-1.052753210067749,5.370060920715332
Mat.Bramar@gastech.com.kronos,Mat Bramar,0,Administration,1.1083576679229736,3.2419581413269043
Isia.Vann@gastech.com.kronos,Isia Vann,5,Security,-1.0711307525634766,5.777388095855713
Bertrand.Ovan@gastech.com.kronos,Bertrand Ovan,3,Facilities,0.552567183971405,8.821714401245117
Adra.Nubarron@gastech.com.kronos,Adra Nubarron,1,Engineering,-2.239804744720459,4.876753330230713
Nils.Calixto@gastech.com.kronos,Nils Calixto,4,Information Technology,-3.6594130992889404,6.136815071105957
Stenig.Fusil@gastech.com.kronos,Stenig Fusil,5,Security,0.6064202189445496,5.4644670486450195
Minke.Mies@gastech.com.kronos,Minke Mies,5,Security,0.12188379466533661,5.93842077255249
Loreto.Bodrogi@gastech.com.kronos,Loreto Bodrogi,5,Security,0.12100887298583984,5.932013511657715
Irene.Nant@gastech.com.kronos,Irene Nant,3,Facilities,1.0953418016433716,8.977691650390625
Inga.Ferro@gastech.com.kronos,Inga Ferro,5,Security,-1.1230262517929077,5.361114978790283
Felix.Resumir@gastech.com.kronos,Felix Resumir,5,Security,0.1210084855556488,5.932013511657715
Hennie.Osvaldo@gastech.com.kronos,Hennie Osvaldo,5,Security,0.12100868672132492,5.932013034820557
Benito.Hawelon@gastech.com.kronos,Benito Hawelon,3,Facilities,-0.22622911632061005,9.720453262329102
Cecilia.Morluniau@gastech.com.kronos,Cecilia Morluniau,3,Facilities,0.15237948298454285,9.602269172668457
